,time,16400,16450,16500,16550,16600
190,2023-10-06 14:32,197.5,178.0,165.0,164.0,170.5
191,2023-10-06 14:33,197.5,178.0,165.0,164.0,170.5
192,2023-10-06 14:34,197.5,178.0,165.0,164.0,170.5
193,2023-10-06 19:19,221.5,196.0,175.0,165.0,161.0
194,2023-10-06 19:21,223.5,197.0,177.0,164.0,163.0
195,2023-10-06 19:22,224.0,196.5,177.0,164.0,163.0
196,2023-10-06 19:23,222.0,193.0,174.0,164.0,163.0
197,2023-10-06 19:24,222.5,193.0,172.0,164.0,161.0
198,2023-10-06 19:25,219.0,191.5,173.0,163.0,165.0
199,2023-10-06 19:26,219.0,191.5,173.0,164.0,163.0
200,2023-10-06 19:27,219.0,192.5,174.0,164.0,165.0
201,2023-10-06 19:28,219.0,192.5,174.0,165.0,163.0
202,2023-10-06 19:29,219.0,192.0,174.0,165.0,164.0
203,2023-10-06 19:30,220.0,191.5,173.0,164.0,163.0
204,2023-10-06 19:31,218.5,191.5,173.0,165.0,164.0
205,2023-10-06 19:32,219.5,193.0,172.0,165.0,166.0
206,2023-10-06 19:33,216.5,190.0,173.0,163.0,164.0
207,2023-10-06 19:34,216.0,191.0,172.0,162.0,165.0
208,2023-10-06 19:35,217.0,191.0,173.0,164.0,166.0
209,2023-10-06 19:36,216.5,189.5,174.0,164.0,165.0
210,2023-10-06 19:37,214.5,188.5,172.0,164.0,164.0
211,2023-10-06 19:38,213.5,190.0,173.0,163.0,166.0
212,2023-10-06 19:39,216.5,191.0,172.0,164.0,165.0
213,2023-10-06 19:40,215.0,190.0,172.0,163.0,165.0
214,2023-10-06 19:41,215.0,190.0,172.0,164.0,165.0
215,2023-10-06 19:42,214.0,191.0,173.0,166.0,166.0
216,2023-10-06 19:43,218.0,192.0,174.0,166.0,165.0
217,2023-10-06 19:44,218.0,191.0,173.0,164.0,165.0
218,2023-10-06 19:45,217.0,191.0,172.0,165.0,164.0
219,2023-10-06 19:46,216.5,190.5,174.0,165.0,164.0
220,2023-10-06 19:47,219.5,192.0,174.0,165.0,164.0
221,2023-10-06 19:48,219.5,192.0,174.0,165.0,165.0
222,2023-10-06 19:49,219.5,192.5,175.0,165.0,165.0
223,2023-10-06 19:50,219.5,193.5,174.0,163.0,165.0
224,2023-10-06 19:51,219.5,194.0,173.0,162.0,164.0
225,2023-10-06 19:52,220.0,194.0,175.0,164.0,164.0
226,2023-10-06 19:53,220.0,193.0,174.0,165.0,163.0
227,2023-10-06 19:54,217.0,191.5,174.0,165.0,167.0
228,2023-10-06 19:55,217.5,190.5,173.0,165.0,165.0
229,2023-10-06 19:56,215.5,192.0,173.0,165.0,166.0
230,2023-10-06 19:57,217.0,192.5,173.0,164.0,166.0
231,2023-10-06 19:58,216.5,191.5,174.0,164.0,167.0
232,2023-10-06 19:59,217.0,191.5,173.0,166.0,167.0
233,2023-10-06 20:00,217.0,191.5,173.0,166.0,167.0
234,2023-10-06 20:04,217.0,192.0,174.0,165.0,166.0
235,2023-10-06 20:05,218.0,193.0,174.0,165.0,165.0
236,2023-10-06 20:06,217.5,193.0,175.0,165.0,164.0
237,2023-10-06 20:07,217.5,193.0,174.0,165.0,166.0
238,2023-10-06 20:08,217.0,192.5,174.0,164.0,165.0
239,2023-10-06 20:09,216.5,192.5,172.0,165.0,163.0
240,2023-10-06 20:10,218.0,191.5,172.0,164.0,164.0
241,2023-10-06 20:11,216.5,191.0,172.0,163.0,164.0
242,2023-10-06 20:12,216.0,191.5,171.0,164.0,165.0
243,2023-10-06 20:13,216.0,191.0,172.0,165.0,166.0
244,2023-10-06 20:14,215.0,191.0,172.0,164.0,165.0
245,2023-10-06 20:15,215.0,192.5,172.0,163.0,164.0
246,2023-10-06 20:16,214.5,192.0,173.0,163.0,164.0
247,2023-10-06 20:17,215.0,192.0,172.0,165.0,165.0
248,2023-10-06 20:18,215.0,191.5,173.0,164.0,164.0
249,2023-10-06 20:19,217.0,191.5,174.0,163.0,164.0
250,2023-10-06 20:21,218.0,192.0,172.0,165.0,165.0
251,2023-10-06 20:22,218.0,192.0,173.0,167.0,165.0
252,2023-10-06 20:23,218.0,192.0,173.0,167.0,165.0
253,2023-10-06 20:24,217.5,193.0,175.0,166.0,166.0
254,2023-10-06 20:25,218.0,193.0,174.0,166.0,166.0
255,2023-10-06 20:26,217.5,193.0,173.0,166.0,166.0
256,2023-10-06 20:27,219.5,194.5,173.0,167.0,166.0
257,2023-10-06 20:28,219.0,193.0,173.0,165.0,165.0
258,2023-10-06 20:30,212.5,178.0,171.0,166.0,167.0
259,2023-10-06 20:31,195.0,172.0,162.0,166.0,175.5
260,2023-10-06 20:32,197.5,177.0,168.0,167.0,176.5
261,2023-10-06 20:33,188.5,174.0,164.0,167.0,177.0
262,2023-10-06 20:34,182.0,167.0,162.0,167.0,178.0
263,2023-10-06 20:36,187.0,170.0,164.0,167.0,181.0
264,2023-10-06 20:37,189.0,172.0,165.0,169.0,179.0
265,2023-10-06 20:38,189.0,172.0,164.0,165.0,176.5
266,2023-10-06 20:40,189.0,172.0,166.0,169.0,182.5
267,2023-10-06 20:41,189.0,175.0,167.0,171.0,182.5
268,2023-10-06 20:42,191.0,174.0,168.0,171.0,184.5
269,2023-10-06 20:43,187.0,173.0,167.0,170.0,183.0
270,2023-10-06 20:44,191.5,172.0,166.0,170.0,184.0
271,2023-10-06 20:45,189.0,173.0,166.0,171.0,185.0
272,2023-10-06 20:46,185.0,171.0,166.0,171.0,187.5
273,2023-10-06 20:48,183.0,170.0,166.0,172.0,186.5
274,2023-10-06 20:49,184.0,169.0,167.0,173.0,189.5
275,2023-10-06 20:50,178.0,167.0,164.0,173.5,190.0
276,2023-10-06 20:51,174.0,166.0,166.0,178.0,200.0
277,2023-10-06 20:52,174.0,168.0,170.0,182.5,205.0
278,2023-10-06 20:53,177.0,169.0,173.0,186.0,207.5
279,2023-10-06 20:55,179.0,171.0,174.0,184.0,205.0
280,2023-10-06 20:56,180.0,171.0,174.0,183.5,203.5
281,2023-10-06 20:57,180.0,172.0,174.0,186.5,208.0
282,2023-10-06 20:58,181.0,173.0,175.0,183.5,203.0
283,2023-10-06 20:59,181.0,172.0,173.0,182.5,203.5
284,2023-10-06 21:00,181.0,173.0,173.0,182.0,204.0
285,2023-10-06 21:01,182.0,173.0,176.0,189.5,210.0
286,2023-10-06 21:02,182.0,175.0,179.0,188.5,212.5
287,2023-10-06 21:03,184.0,174.0,174.0,186.5,204.0
288,2023-10-06 21:04,183.0,173.0,174.0,185.0,202.5
289,2023-10-06 21:05,184.0,175.0,173.0,183.5,201.5
290,2023-10-06 21:06,180.0,171.0,170.0,179.5,197.5
291,2023-10-06 21:07,178.0,164.0,163.0,171.5,190.5
292,2023-10-06 21:08,180.0,166.0,161.0,166.0,181.5
293,2023-10-06 21:09,182.0,167.0,163.0,165.5,182.0
294,2023-10-06 21:10,180.0,169.0,163.0,171.0,183.5
295,2023-10-06 21:11,182.0,168.0,166.0,174.5,187.0
296,2023-10-06 21:12,179.0,168.0,164.0,171.5,188.5
297,2023-10-06 21:13,181.0,168.0,161.0,169.0,184.5
298,2023-10-06 21:14,182.0,167.0,161.0,168.5,184.5
299,2023-10-06 21:15,180.0,167.0,164.0,170.0,188.5
300,2023-10-06 21:16,182.0,169.0,163.0,169.0,184.5
301,2023-10-06 21:17,184.0,167.0,164.0,169.0,185.5
302,2023-10-06 21:18,184.0,169.0,165.0,171.0,185.5
303,2023-10-06 21:20,184.0,170.0,164.0,170.0,185.0
304,2023-10-06 21:21,186.0,171.0,163.0,168.0,182.5
305,2023-10-06 21:22,184.5,169.0,163.0,169.0,180.0
306,2023-10-06 21:23,185.5,171.0,164.0,166.0,180.0
307,2023-10-06 21:24,186.0,170.0,163.0,168.0,178.0
308,2023-10-06 21:25,188.5,171.0,165.0,167.0,180.0
309,2023-10-06 21:26,187.5,171.0,164.0,167.0,180.5
310,2023-10-06 21:27,186.0,170.0,163.0,170.0,181.5
311,2023-10-06 21:28,184.0,169.0,166.0,170.0,185.5
312,2023-10-06 21:29,184.0,170.0,167.0,170.0,185.0
313,2023-10-06 21:30,186.0,169.0,166.0,171.0,184.0
314,2023-10-06 21:31,187.0,172.0,165.0,169.0,183.0
315,2023-10-06 21:32,187.0,170.0,164.0,167.0,182.0
316,2023-10-06 21:33,189.5,173.0,165.0,169.0,182.0
317,2023-10-06 21:34,188.5,171.0,164.0,168.0,181.0
